card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,rewards_type,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,signup_bonus_type,estimated_bonus_value_usd,minimum_spend_amount,bonus_to_spend_ratio,spend_time_frame,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons,application_link,ftf,lounge,ge_tsa_precheck,special_feature_1,special_feature_2
Bank of America Unlimited Cash,Bank of America,personal,0,0,0,cashback,Cash,,1.5,1.5,150,dollars,150,$500,0.3000,3,0% for 15 months,Yes,Simple unlimited 1.5% cash back with potential Preferred Rewards boost,Straightforward flat-rate earning for BoA banking customers wanting set-it-and-forget-it rewards,• 1.5% on all ✓ • Preferred Rewards up to 2.625% ✓ • No annual fee ✓,• No bonus categories • Needs BoA for boost • Foreign transaction fee 🌍,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/,3%,,,1.5% unlimited,Preferred Rewards up to 2.625%
BankAmericard Cash Rewards,Bank of America,personal,0,0,0,cashback,Cash,,3 / 2 / 1,1.6,150,dollars,150,$500,0.3000,3,0% for 15 months,Yes,Online shopping and category bonuses with long intro APR for balance transfers,Combines cash back earning with 0% intro period for users managing existing debt while earning rewards,"• 3% category choice ✓ • 2% grocery, wholesale • 0% intro 15 mo • No annual fee ✓","• 3% capped $2,500/qtr • Foreign transaction fee 🌍 • Must choose category",https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,3%,,,3% choice; 2% grocery/wholesale,Preferred Rewards boost
Bank of America Travel Rewards,Bank of America,personal,0,0,0,travel,Bank of America Points,,1.5,1.5,250,points,250,"$3,000",0.0833,3,0% for 15 months,No,No-fee travel card with no foreign transaction fees and simple earning,Entry travel card for BoA customers wanting flexible points redemption without annual cost,• 1.5 pts per dollar ✓ • No FX fee ✓ • Preferred Rewards up to 2.625 ✓ • No annual fee ✓,• Lower earn than premium • Points not transferable • Needs BoA banking,https://www.bankofamerica.com/credit-cards/products/travel-rewards-credit-card/,0%,,,1.5 pts/$; redeem for travel statement credit,Preferred Rewards up to 2.625 pts
Bank of America Premium Rewards,Bank of America,personal,95,95,95,travel,Bank of America Points,,1.5,1.5,600,points,600,"$3,000",0.2000,3,,No,Premium travel and dining earning for Bank of America Preferred Rewards members,Mid-tier travel card optimized for BoA banking customers with points boost and travel credits,"• 2× travel, dining ✓ • $100 airline credit ✓ • No FX fee ✓",• $95 annual fee 💰 • Needs Preferred Rewards • Partners weaker vs Chase/Amex 📉,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,0%,,,2× travel dining; $100 airline incidental credit,Preferred Rewards boost; Global Entry credit
Bank of America Business Advantage Travel Rewards,Bank of America,business,0,0,0,travel,Bank of America Points,,1.5,1.5,30000,points,300,"$3,000",0.1000,3,0% for 9 months,No,No-fee business travel card with straightforward earning and no foreign transaction fees,Entry business travel option for BoA business banking customers wanting simple points accumulation,• 3× Travel Center • 1.5× all other ✓ • No FX fee ✓ • No annual fee ✓,• Lower earn than premium • Points not transferable • Needs BoA Relationship Rewards,https://business.bankofamerica.com/en/credit-cards/business-advantage-travel-rewards?campaign=4076928~NJ~en_US,0%,,,3× Travel Center; 1.5× all other,Preferred Rewards for Business up to 5.25×
Bank of America Business Advantage Atmos Rewards,Bank of America,business,70,70,70,airline,Atmos Miles,Alaska,3 / 2 / 1,1.7,70000,points,700,$4000,0.1750,3,,No,Atmos business card for Alaska/Hawaiian flyers with Companion Fare and category earning,Atmos Visa Business with 70k pts + $99 Companion Fare and Alaska/Hawaiian bonuses,• 70k pts + $99 Companion Fare ✓ • 3× Alaska/Hawaiian ✓ • 2× gas EV shipping transit ✓,• $70 company + $25/card 💰 • Alaska/Hawaiian focus • Route network limited,https://www.alaskaair.com/atmosrewards/content/credit-cards/benefits/visa-small-business,0%,,,70k pts + $99 Companion Fare; $4k in 90 days,3× Alaska/Hawaiian; 2× gas EV shipping transit; free bag; 20% inflight
Bank of America Business Advantage Customized Cash Rewards,Bank of America,business,0,0,0,cashback,Cash,,3 / 2 / 1,1.7,300,dollars,300,$3000,0.1000,3,0% for 9 months,Yes,Choose your own 3% business category for targeted spending optimization,No-fee business cash back with category choice for expense concentration,• 3% category choice ✓ • No annual fee ✓ • $300 bonus ✓,• 3% capped $50k/yr • Foreign transaction fee 🌍 • Must choose category,https://business.bankofamerica.com/en/credit-cards/business-advantage-customized-cash-rewards?campaign=4076847~NX~en_US,3%,,,3% choice; 2% dining; 1% other (cap $50k/yr),Preferred Rewards for Business boost
Alaska Airlines Visa Signature,Bank of America,personal,95,95,95,airline,Alaska Miles,Alaska,3 / 2 / 1,1.5,70000,miles,700,"$1,000",0.7000,3,,No,Travelers who regularly fly Alaska and want Companion Fare and free checked bag.,Core Alaska Airlines co-brand for Bank of America customers who want strong airline perks at moderate annual fee.,• Companion Fare ✓ • Free checked bag ✓ • 3× Alaska • No FX fee ✓,• $95 annual fee 💰 • Alaska route network only • Miles devaluation risk ⚠️,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,0%,,,Companion Fare; free checked bag,3× Alaska; 20% inflight; Alaska Lounge+ discount
Atmos Rewards Summit Visa Infinite,Bank of America,personal,395,395,395,airline,Alaska Miles,Alaska,3 / 1,1.8,80000,points,800,"$4,000",0.2000,3,,No,Frequent Alaska and international travelers who want lounge access and premium companion awards.,Premium Alaska co-brand positioned as a Visa Infinite product for global travelers wanting high-end perks and companion awards.,"• 2 Global Companion Awards/yr ✓ • Alaska Lounge ✓ • 3× dining, Alaska • No FX fee ✓",• $395 annual fee 💰 • Needs frequent Alaska travel • Complex thresholds,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-infinite-credit-card/,0%,Alaska Lounge,,2 Global Companion Awards/yr; $395 AF,3× Alaska dining; Premier Collection hotels
U.S. Bank Cash+,U.S. Bank,personal,0,0,0,cashback,Cash,,5 / 2 / 1,2.0,200,dollars,200,$1000,0.2000,3,0% for 15 months,Yes,Highest 5% cash back on two categories you choose each quarter,Category maximization for organized spenders wanting top-tier cash back rates in flexible categories,• 5% on two categories/qtr ✓ • 2% everyday category • No annual fee ✓,"• 5% capped $2,000/qtr • Quarterly activation • Foreign transaction fee 🌍",https://www.usbank.com/credit-cards/cash-plus-visa-signature-credit-card.html,3%,,,5% Travel Center prepaid,Cash-back deals
U.S. Bank Unlimited Cash,U.S. Bank,personal,0,0,0,cashback,Cash,,1.5,1.5,150,dollars,150,$1000,0.1500,3,0% for 12 months,Yes,Simple unlimited 1.5% cash back with long intro APR period,Straightforward flat-rate card for set-it-and-forget-it cash back with 0% financing option,• 1.5% on all ✓ • 0% intro 12 mo • No annual fee ✓,• No bonus categories • Foreign transaction fee 🌍 • $150 bonus needs $1k spend,https://www.usbank.com/credit-cards/unlimited-cash-rewards-credit-card.html,3%,,,1.5% unlimited,ExtendPay eligible
U.S. Bank Smartly Visa Signature,U.S. Bank,personal,0,0,0,cashback,Cash,,2 / up to 4 with banking,2.0,0,,0,$0,,0,0% for 12 months,Yes,Flat 2% cash back with optional boost for U.S. Bank Smartly banking customers,Unlimited 2% flat rate with optional Smartly Earning Bonus for U.S. Bank depositors,• 2% on all ✓ • Up to 4% with Smartly banking ✓ • No annual fee ✓,• Needs Smartly accounts • Bonus capped $10k/cycle • Best with $10k+ deposits,https://www.usbank.com/credit-cards/bank-smartly-visa-signature-credit-card.html,3%,,,Up to 4% with Smartly banking,Cash-back deals
U.S. Bank Shield Visa,U.S. Bank,personal,0,0,0,balance_transfer,,,4 travel center,0.4,0,,0,$0,,0,0% for 24 months,Yes,Long 0% intro APR and balance transfers with light travel rewards and perks,Best-in-class 24-month 0% APR with light rewards and cell phone protection,• 24-mo 0% APR ✓ • Cell phone protection $600 ✓ • No annual fee ✓,• No signup bonus • 4% only in Travel Center • $20 credit needs 11 mo purchases,https://www.usbank.com/credit-cards/shield-visa-credit-card.html,3%,,,Cell phone protection $600,$20 annual statement credit
U.S. Bank Altitude Go Visa Signature,U.S. Bank,personal,0,0,0,travel,U.S. Bank Points,,4 / 2 / 1,0.5,20000,points,200,"$1,000",0.2000,3,0% for 15 months,Yes,Dining and streaming with no annual fee and flexible points redemption,No-fee dining and streaming card with flexible points redemption and charity match,"• 4× dining (first $2k/qtr) ✓ • 2× grocery, gas, streaming • $15 streaming credit ✓",• Foreign transaction fee 🌍 • 4× dining capped $2k/qtr • Points expire 12 mo inactive,https://www.usbank.com/credit-cards/altitude-go-visa-signature-credit-card.html,3%,,,$15 streaming credit,100% charity match
U.S. Bank Altitude Connect Visa Signature,U.S. Bank,personal,0,0,0,travel,U.S. Bank Points,,5 / 4 / 2 / 1,0.5,20000,points,200,"$1,000",0.2000,3,0% for 15 months,No,Travel and gas with no annual fee and lounge/TSA credit,No-fee travel and gas card with lounge access and no foreign transaction fees,"• 5× hotels, cars (Travel Center) ✓ • 4× travel, gas ✓ • Priority Pass + TSA credit ✓ • No annual fee ✓",• 5×/4× need Travel Center • Points expire 12 mo • 5-yr bonus rule,https://www.usbank.com/credit-cards/altitude-connect-visa-signature-credit-card.html,0%,Priority Pass Select,Yes ($120/4yr),GigSky global mobile data,Travel protections
U.S. Bank Shopper Cash Rewards Visa Signature,U.S. Bank,personal,95,0,95,cashback,Cash,,6 / 3 / 1.5,2.5,250,dollars,250,"$2,000",0.1250,4,,Yes,High cash back at two chosen retailers plus everyday category with first-year fee waived,Retail-focused cash back with 6% at two chosen retailers and first-year fee waived,"• 6% at two retailers (Amazon, Target, etc) ✓ • $250 bonus ✓ • First year no fee ✓",• $95 after year one 💰 • Quarterly selection • Foreign transaction fee 🌍,https://www.usbank.com/credit-cards/shopper-cash-rewards-visa-signature-credit-card.html,3%,,,5.5% Travel Center hotel/car,ExtendPay $0 fee first 60 days
U.S. Bank Triple Cash Rewards Visa Business,U.S. Bank,business,0,0,0,cashback,Cash,,3 / 1,1.8,750,dollars,750,$6000,0.1250,6,0% for 12 months,Yes,Small businesses with gas office supplies restaurants and software subscriptions,No-fee business cash back with 3% on core expense categories plus $100 software credit and strong welcome bonus,"• 3% gas, office supply, cell phone, restaurants ✓ • $750 bonus ✓ • $100 software credit ✓ • No annual fee ✓",• 3% gas capped at $200/transaction • $6k spend for bonus • Foreign transaction fee 🌍,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,3%,,,$100 software credit (QuickBooks etc),5% Travel Center; ExtendPay $0 first 60 days
U.S. Bank Business Shield Visa,U.S. Bank,business,0,0,0,balance_transfer,,,5 travel center,0.5,0,,0,$0,,0,0% for 12 months,Yes,Businesses needing intro APR for cash flow with light travel rewards,No-fee business card for 0% financing and Travel Center earning with purchase protection and Spend Management,• 12-mo 0% APR ✓ • 5% Travel Center ✓ • $50 credit after $5k Travel Center ✓ • No annual fee ✓,• No signup bonus • 5% only in Travel Center • $50 needs $5k Travel Center spend,https://www.usbank.com/business-banking/business-credit-cards/business-shield-credit-card.html,3%,,,Purchase protection,Spend Management; ExtendPay $0/yr
U.S. Bank Business Altitude Power Visa Signature,U.S. Bank,business,0,0,0,travel,U.S. Bank Points,,2 / 2.5 mobile / 6 travel,0.5,75000,points,750,$10000,0.0750,4,,No,Businesses wanting flat 2× points on all spend with lounge access and no foreign fees,Uncapped 2× business card with Priority Pass mobile wallet boost and Travel Center 6× for flexible redemption,• 2× on all purchases ✓ • 2.5× mobile wallet ($5k/qtr) ✓ • 6× Travel Center ✓ • Priority Pass ✓ • No FX fee ✓,• 75k bonus needs $10k spend • 6× only via Travel Center • Points expire 12 mo inactive,https://www.usbank.com/business-banking/business-credit-cards/business-altitude-power-credit-card.html,0%,Priority Pass Digital,,Transfer to personal Altitude; Spend Management
U.S. Bank Business Altitude Connect Visa Signature,U.S. Bank,business,95,0,95,travel,U.S. Bank Points,,5 / 4 / 2 / 1,0.5,60000,points,600,$6000,0.1000,6,,No,Businesses with regular travel dining and rideshare spend wanting lounge access,Travel-focused business card with 5× Travel Center 4× travel/gas and $25 rideshare credit plus Priority Pass,• 5× Travel Center ✓ • 4× travel gas ($150k/yr) ✓ • 60k bonus ✓ • Priority Pass + 4 free visits ✓ • No FX fee ✓,• $95 after year one 💰 • 4× capped $150k/yr • $25 rideshare needs 3 consecutive months,https://www.usbank.com/business-banking/business-credit-cards/business-altitude-connect-credit-card.html,0%,Priority Pass Digital,,$25 rideshare credit (3mo consecutive)
U.S. Bank Business Leverage Visa Signature,U.S. Bank,business,95,0,95,travel,U.S. Bank Points,,2 / 1 / 5 travel,0.5,75000,points,750,$7500,0.1000,4,,No,Businesses with variable category spend wanting automatic 2× on top two categories,Hands-off business points card that auto-selects your top two spend categories for 2× each month plus Travel Center 5×,• 2× top two categories (auto) ✓ • 5× Travel Center ✓ • 75k bonus ✓ • No FX on international biz ✓,• $95 after year one 💰 • Categories shift monthly • Points expire 5 yr from quarter,https://www.usbank.com/business-banking/business-credit-cards/business-leverage-rewards-credit-card.html,0%,,,2× auto top 2 categories,48 spend categories; ExtendPay
Amex Blue Cash Everyday,Amex,personal,0,0,0,cashback,Cash,,3 / 2 / 1,1.7,200,dollars,200,$500,0.4000,3,0% for 15 months,Yes,Grocery and gas spending with no annual fee for everyday Amex benefits,No-fee cash back card targeting grocery shoppers who want Amex benefits without premium cost,"• 3% supermarkets, gas (up to $6k/yr) ✓ • 2% department stores • No annual fee ✓",• Foreign transaction fee 🌍 • 3% capped $6k/yr • Excl. Walmart/Target,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,2.7%,,,3% streaming,Amex Offers
Amex Blue Cash Preferred,Amex,personal,95,0,95,cashback,Cash,,6 / 3 / 1,2.5,300,dollars,300,$500,0.6000,3,0% for 12 months,Yes,Heavy grocery spenders wanting industry-leading 6% back at supermarkets,Premium grocery cash back card with best-in-class supermarket earning for high grocery spend households,• 6% supermarkets (up to $6k/yr) ✓ • 6% streaming ✓ • First year no fee ✓,• $95 after year one 💰 • 6% capped $6k/yr • Foreign transaction fee 🌍,https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/,2.7%,,,6% streaming,Amex Offers
Amex Green,Amex,personal,150,150,150,travel,Membership Rewards (MR),,,0.5,60000,points,600,"$3,000",0.2000,3,,No,Transit dining and travel spenders wanting Membership Rewards without premium annual fee,Entry Membership Rewards charge card for urban lifestyle and moderate travelers who want points flexibility,"• 3× travel, transit, dining ✓ • Transfer to 20+ partners ✓ • CLEAR credit ✓","• $150 annual fee 💰 • Charge card, pay in full • Fewer credits than Gold",https://www.americanexpress.com/us/credit-cards/card/green/,0%,Lounge Collection,,CLEAR credit $189/yr,Transfer to 20+ partners
Amex Gold,Amex,personal,250,250,250,travel,Membership Rewards (MR),,,0.5,60000,points,600,"$6,000",0.1000,6,,No,Dining and grocery spending for travelers who want strong category multipliers and flexible points,Premium dining and grocery card delivering highest earning in key categories with Membership Rewards transfer power,"• 4× restaurants, supermarkets ✓ • 3× flights • $120 Uber + $120 dining ✓","• $250 annual fee 💰 • Credits need active use • Charge card, pay in full",https://www.americanexpress.com/us/credit-cards/card/gold-card/,0%,,,$120 Uber + $120 dining credits,Transfer to 20+ partners
Amex Platinum,Amex,personal,695,695,695,travel,Membership Rewards (MR),,,0.5,80000,points,800,"$8,000",0.1000,6,,No,Luxury travelers wanting premium lounge access elite status and comprehensive travel credits,Flagship premium travel card for frequent flyers prioritizing experience perks and airport lounge access over earning rates,"• 5× flights, prepaid hotels ✓ • Centurion + Priority Pass + Sky Club ✓ • $200 hotel + $200 airline ✓",• $695 annual fee 💰 • Credits complex • Needs heavy travel,https://www.americanexpress.com/us/credit-cards/card/platinum/,0%,Centurion + Priority Pass + Sky Club,Yes ($120/4yr),$200 hotel + $200 airline credits,5× flights and prepaid hotels
Barclays JetBlue Premier,Barclays,personal,499,499,499,airline,JetBlue TrueBlue,JetBlue ,6 / 2 / 1,0.5,80000,miles,800,"$5,000",0.1600,3,,No,JetBlue frequent flyers wanting lounge access and premium perks,Premium JetBlue card with BlueHouse Priority Pass and $300 TrueBlue Travel credits,"• 80k + 5 tiles after $5k + AF ✓ • 6× JetBlue ✓ • 2× restaurants, grocery ✓ • BlueHouse + Priority Pass ✓ • GE/TSA ✓",• $499 AF ($150 per AU) 💰 • Best with heavy JetBlue travel • TrueBlue limited,https://cards.barclaycardus.com/banking/cards/jetblue-premier-card/,0%,BlueHouse + Priority Pass Select,Yes ($120/4yr),$300 TrueBlue Travel credits/yr; Group A boarding,5000 anniversary; 10% points back on Award Flight
Barclays JetBlue Plus,Barclays,personal,99,99,99,airline,JetBlue TrueBlue,JetBlue ,6 / 2 / 1,0.5,70000,miles,700,"$1,000",0.7000,3,,No,Occasional JetBlue flyers wanting free checked bag and $100 Vacations credit,Mid-tier JetBlue co-brand with 6× JetBlue and anniversary bonus,"• 70k after $1k + pay AF ✓ • 6× JetBlue ✓ • 2× restaurants, grocery ✓ • Free bag +3 ✓ • $100 Vacations credit ✓",• $99 annual fee 💰 • Fewer perks than Premier • Best for 2-3 trips/yr,https://cards.barclaycardus.com/banking/cards/jetblue-plus-card/,0%,,,$100 JetBlue Vacations credit/yr; 5000 anniversary,10% points back on Award Flight; Free bag +3 companions
Barclays Frontier Airlines World Mastercard,Barclays,personal,99,0,99,airline,Airline Miles,,15 / 3 / 1,0.5,50000,miles,500,"$1,000",0.5000,3,0% for 15 months balance transfer,No,Budget airline travelers flying Frontier frequently wanting two free bags and Elite Gold,Ultra-low-cost carrier co-brand with two free checked bags $100 anniversary voucher and Instant Elite Gold,• 50k miles after $1k ✓ • 15× flyfrontier.com ✓ • Two free bags ✓ • $100 voucher/yr (spend $2.5k) ✓ • Instant Elite Gold ✓,• Frontier miles low value 📉 • $99 after year one 💰 • Limited route network,https://cards.barclaycardus.com/banking/cards/frontier-airlines-world-mastercard/,0%,,,$100 flight voucher each anniversary ($2.5k spend),Instant Elite Gold; Two free checked bags; 0% BT 15 mo
Barclays JetBlue Business Card,Barclays,business,99,99,99,airline,JetBlue TrueBlue,JetBlue ,6 / 2 / 1,0.5,60000,miles,600,"$2,000",0.3000,3,,No,Small businesses flying JetBlue regularly for client meetings or team travel,JetBlue business co-brand with 6× JetBlue 2× restaurants/office supply and Group A boarding,"• 60k after $2k + pay AF ✓ • 6× JetBlue ✓ • 2× restaurants, office supply ✓ • Free bag +3 ✓ • Group A boarding ✓",• $99 annual fee 💰 • Best with regular JetBlue travel • TrueBlue limited,https://cards.barclaycardus.com/banking/cards/jetblue-business-card/,0%,,,$100 JetBlue Vacations credit/yr; 5000 anniversary,Group A boarding; 10% points back on Award Flight
Marriott Bonvoy Bevy American Express Card,Amex,personal,250,250,250,hotel,Marriott Bonvoy Points,Marriott ,6 / 4 / 2,0.5,100000,points,333,"$1,000",0.3330,3,,No,Regular Marriott guests wanting Gold Elite and credits,Mid-premium Marriott Amex with automatic status and anniversary night,• 6× Marriott ✓ • Free night (50k) ✓ • Gold Elite + $150 credits ✓,• $250 annual fee 💰 • Free night caps at 50k • Marriott-only value,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,0%,,,Gold Elite + $150 credits,Free night (50k pts)
Hilton Honors American Express Aspire Card,Amex,personal,450,450,450,hotel,Hilton Honors Points,Hilton ,14 / 7 / 3,0.4,175000,points,583,"$1,000",0.5830,3,,No,Frequent Hilton guests seeking Diamond status and resort credits,Premium Hilton card with top-tier status and strong perks package,• Diamond status ✓ • $250 airline + $250 resort ✓ • Priority Pass ✓,• $450 annual fee 💰 • Needs regular Hilton • Lower point value 📉,https://www.americanexpress.com/us/credit-cards/card/hilton-aspire/,0%,Priority Pass,,$250 airline + $250 resort credits,Diamond status
American Express Green Card,Amex,personal,150,150,150,travel,Membership Rewards (MR),,3 / 3 / 1,0.5,50000,points,500,"$3,000",0.1667,3,,No,Transit and dining spenders wanting Membership Rewards,Entry charge card for lifestyle + travel with clean design,"• 3× travel, transit, dining ✓ • CLEAR credit ✓ • Transferable MR ✓","• $150 annual fee 💰 • Charge card, pay in full • Narrower than Gold",https://www.americanexpress.com/us/credit-cards/card/green/,0%,Lounge Collection,,CLEAR credit $189/yr,Transfer to 20+ partners
Delta SkyMiles Gold American Express Card,Amex,personal,0,99,99,airline,Delta SkyMiles,Delta ,2 / 1,0.5,50000,miles,500,"$6,000",0.0833,6,,No,Moderate Delta flyers wanting free bag and early boarding,Mid-tier Delta card with core perks at accessible fee,"• First year free ✓ • Free checked bag ✓ • 2× Delta, restaurants",• $99 after year 1 💰 • Smaller bonus vs Platinum • Best for several Delta/yr,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-gold/,0%,,,Free checked bag,15% off Delta inflight
Hilton Honors American Express Surpass Card,Amex,personal,150,150,150,hotel,Hilton Honors Points,Hilton ,12 / 6 / 3,0.4,150000,points,500,"$1,000",0.5000,3,,No,Regular Hilton guests seeking high earn rates and automatic Gold status,Mid-tier Hilton card balancing strong multipliers and manageable fee,"• 12× Hilton ✓ • 6× groceries, gas, dining ✓ • Gold Elite + weekend night ✓",• $150 annual fee 💰 • Hilton footprint only • Lower point value 📉,https://www.americanexpress.com/us/credit-cards/card/hilton-surpass/,0%,,,Gold Elite + weekend night,6× groceries gas dining
Marriott Bonvoy Brilliant American Express Card,Amex,personal,650,650,650,hotel,Marriott Bonvoy Points,Marriott ,6 / 3 / 2,0.5,185000,points,616,"$1,000",0.6160,3,,No,Heavy Marriott travelers wanting Platinum Elite and luxury credits,Premium Marriott Amex with top-tier status and statement credits,• Platinum Elite ✓ • $300 Marriott credit ✓ • Free night (85k) ✓,• $650 annual fee 💰 • Best for frequent Marriott • Free night strong value,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/,0%,Priority Pass (unlimited),Yes ($120/4yr),$300 Marriott credit,Free night (85k pts)
Delta SkyMiles Platinum American Express Card,Amex,personal,350,350,350,airline,Delta SkyMiles,Delta ,3 / 1,0.5,70000,miles,700,"$8,000",0.0875,6,,No,Frequent Delta flyers needing companion certificate and lounge access,Premium Delta card with strong perks for regular SkyMiles flyers,• Companion certificate ✓ • Sky Club access ✓ • Free bags ✓,• $350 annual fee 💰 • Companion cert restrictions • Best for frequent Delta,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum/,0%,Sky Club (when flying Delta),,Companion certificate,Free checked bags
Hilton Honors American Express Business Card,Amex,business,195,195,195,hotel,Hilton Honors Points,Hilton ,12 / 5 / 3,0.4,150000,points,500,"$1,000",0.5000,3,,No,Small businesses with Hilton stays wanting Gold status and credits,Business Hilton card with $240 credit Gold status and path to Diamond,• 12× Hilton ✓ • $240 Hilton credit ($60/qtr) ✓ • Gold Elite ✓ • Diamond at $40k spend ✓ • No FX fee ✓,• $195 annual fee 💰 • Lower point value 📉 • Best with Hilton travel,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/hilton-honors/,0%,,,$240 Hilton credit ($60/qtr),National Emerald Club Executive; Diamond at $40k
Marriott Bonvoy Business American Express Card,Amex,business,125,125,125,hotel,Marriott Bonvoy Points,Marriott ,6 / 4 / 2,0.5,100000,points,333,"$1,000",0.3330,3,,No,Businesses with Marriott stays seeking Gold Elite and 7% room discount,Mid-tier Marriott business card with Gold status 7% Amex rate and dual free nights,• 6× Marriott ✓ • 4× restaurants gas wireless shipping ✓ • Free night (35k) ✓ • Gold Elite ✓ • 7% room discount ✓ • No FX fee ✓,• $125 annual fee 💰 • Free night caps at 35k • Marriott loyalty needed,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amex-marriott-bonvoy-business-credit-card/,0%,,,7% room discount; 15 Elite Night Credits,2nd free night after $60k; Air+Car transfer
Delta SkyMiles Gold Business American Express Card,Amex,business,150,0,150,airline,Delta SkyMiles,Delta ,2 / 2 / 1,0.5,60000,miles,600,"$6,000",0.1000,6,,No,Small businesses with moderate Delta travel wanting $200 flight credit,Entry-mid Delta business card with $200 credit $150 Delta Stays and free first year,• First year free ✓ • $200 Delta credit after $10k ✓ • $150 Delta Stays ✓ • Free bag ✓ • 15% Award Travel ✓ • No FX fee ✓,• $150 after year 1 💰 • Credits need Delta use • Best for several Delta/yr,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,0%,,,$200 Delta credit ($10k spend),$150 Delta Stays; 20% inflight
Delta SkyMiles Platinum Business American Express Card,Amex,business,350,350,350,airline,Delta SkyMiles,Delta ,3 / 1.5 / 1,0.5,90000,miles,900,"$8,000",0.1125,6,,No,Frequent Delta business travelers seeking companion certificate and MQD boost,Premium Delta business card with Companion Certificate GE/TSA and $400+ in credits,• Companion certificate ✓ • GE/TSA credit ✓ • $120 Resy + $120 Rideshare + $200 Delta Stays ✓ • MQD Headstart $2.5k ✓ • Free bags ✓ • No FX fee ✓,• $350 annual fee 💰 • Companion cert restrictions • Best for regular Delta travel,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,0%,,,Companion cert; GE/TSA credit,$120 Resy + $120 Rideshare + $200 Delta Stays
The Business Platinum Card from American Express,Amex,business,695,695,695,travel,Membership Rewards (MR),,,0.5,150000,points,1500,"$8,000",0.1875,6,,No,High-spend businesses needing premium travel benefits and credits,Flagship Amex business card with luxury perks and flexible points,"• 1.5× on $5k+ purchases ✓ • Dell, Adobe, Indeed credits ✓ • Centurion + lounges ✓ • Doesn't count 5/24",• $695 annual fee 💰 • Credits need optimization • Best for heavy biz travel,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/,0%,Centurion + Priority Pass + others,Yes ($120/4yr),Dell Adobe Indeed credits,1.5× on $5k+ purchases
Blue Business Plus Credit Card from American Express,Amex,business,0,0,0,travel,Membership Rewards (MR),,2,0.5,15000,points,150,"$3,000",0.0500,3,,No,Small businesses wanting no-fee Membership Rewards earning,Entry business card with flat Membership Rewards and no annual fee,• No annual fee ✓ • 2× on all (up to $50k/yr) ✓ • Transferable MR ✓ • Doesn't count 5/24,• 2× capped at $50k/yr • Lower bonus • No premium perks,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/,0%,,,2× up to $50k/yr,Expanded Buying Power
Business Gold Card from American Express,Amex,business,375,375,375,travel,Membership Rewards (MR),,4 / 3 / 1,0.5,70000,points,700,"$10,000",0.0700,3,,No,Businesses with concentrated spend in two categories wanting 4× plus FedEx Grubhub Office Supply credits,Business Gold with 4× on top 2 of 6 categories 3× AmexTravel and up to $395 annual credits,• 4× top 2 categories (advertising electronics restaurants gas transit wireless) ✓ • 3× AmexTravel ✓ • $240 FedEx Grubhub Office Supply ✓ • $155 Walmart+ ✓ • No FX fee ✓,• $375 annual fee 💰 • Top 2 categories change by billing cycle • Credits need enrollment,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/,0%,,,$240 FedEx Grubhub Office Supply credit,$155 Walmart+ credit
Breeze Easy Visa,Barclays,personal,89,89,89,airline,BreezePoints,,10 / 4 / 2 / 1,0.5,30000,points,300,"$1,000",0.3000,3,0% for 12 months balance transfer,No,Breeze Airways flyers in select markets wanting BreezePoints and Breezy 1 benefits,Breeze co-brand with up to 10× on Nicer/Nicest Bundles 2× grocery/restaurants and 7.5k anniversary,• 30k BreezePoints ($300) ✓ • 10× Nicer/Nicest 4× Nice 2× grocery/restaurants ✓ • 7500 anniversary ✓ • No FX fee ✓,• $89 annual fee 💰 • Breeze routes only • BreezePoints redeem Breeze only,https://cards.barclaycardus.com/banking/cards/breeze-airways/,0%,,,7500 BreezePoints anniversary; Breezy 1 + Bundle Upgrade,2× grocery & restaurants; Free inflight WiFi
